Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C17,C18,C19,C23,C24,C3,C4",R_0402_1005Metric,C60474,7
100R,"R16,R17,R19,R20",R_0402_1005Metric,C106232,4
100nF,"C10,C11,C12,C13,C14,C15,C16,C5,C6,C8",C_0402_1005Metric,C1525,10
10k,,R_0402_1005Metric,C60490,0
18p,"C1,C2",C_0402_1005Metric,C33149,2
1M,"R18,R21",R_0402_1005Metric,C138033,2
1k,"R1,R5",R_0402_1005Metric,C106235,2
1uF,"C21,C22,C7,C9",C_0402_1005Metric,C14445,4
27.4R,"R2,R3",R_0402_1005Metric,C31439,2
2M,"R22,R23,R24,R25",R_0402_1005Metric,C11512,4
4.7k,"R10,R11,R13,R14,R15,R4,R7,R8,R9",R_0402_1005Metric,C105871,9
5.1k,"R26,R27",R_0402_1005Metric,C105871,2
ABM8-272-T3,Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C20625731,1
AO3401A,Q1,SOT-23-3,C15127,1
B3F-4055,"SW4,SW5",KEY-TH_4P-L12.0-W12.0-P5.00-LS13.4-EH,C84931,2
Boot,SW1,SW-SMD_L4.0-W3.0-LS5.0,C2888420,1
DS18B20,U4,TO-92_Inline,C9753,1
FST-9018,BZ1,BUZ-SMD_FST-9018,C391035,1
MCP9600T-E/MX,"U5,U6",QFN-20-1EP_5x5mm_P0.65mm_EP3.35x3.35mm_ThermalVias,C623918,2
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,C2040,1
Reset,SW2,SW-SMD_L4.0-W3.0-LS5.0,C2888420,1
RotaryEncoder_Switch_MP,SW3,SW-TH_EC11XXXXXXXX,C470742,1
TF-01A_C2889258,Card1,TF-SMD_TF-02,C2889258,1
TLV76733DRVR,U3,WSON-6_L2.0-W2.0-P0.65-TL-EP,C2848334,1
TPS22810DRVR,"U7,U8",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C527679,2
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
W25Q128JVS,U2,SOIC-8_5.3x5.3mm_P1.27mm,C97521,1
WS2812B-B/W,"LED1,LED2",LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,C2761795,2
PINHD_1x8_Male,J1,PinHeader_1x08_P2.54mm_Vertical,,1
